date,close,velocity,acceleration,reversal_binary,volume,percent_change
2/28/2024,202.03999,2.309989999999999,1.9799800000000118,0,99806200,0.8083
2/29/2024,201.88,-0.15999,-2.46998,1,85907000,-1.12645
3/1/2024,202.64,0.7599999999999909,0.9199899999999843,1,82099200,1.05725
3/4/2024,188.14,-14.5,-15.26,1,134334900,-5.32884
3/5/2024,180.74001,-7.39999,7.100010000000026,0,119660800,-1.26195
3/6/2024,176.53999,-4.20002,3.1999699999999507,0,107920900,-1.91678
3/7/2024,178.64999,2.1100000000000136,6.310020000000037,1,102129000,2.4663
3/8/2024,175.34,-3.30999,-5.41999,1,85315300,-3.39394
3/11/2024,177.77,2.430000000000007,5.739990000000006,1,85391500,1.32232
3/12/2024,177.53999,-0.23001,-2.66001,1,87391700,-0.12939
3/13/2024,169.48,-8.05999,-7.82998,0,106524500,-2.06299
3/14/2024,162.5,-6.98,1.0799900000000093,0,126325700,-3.14121
3/15/2024,163.57001,1.0700099999999964,8.050009999999986,1,96971900,0.25129
3/18/2024,173.8,10.229990000000015,9.159980000000019,0,108214400,2.22327
3/19/2024,171.32001,-2.47999,-12.70998,1,77271400,-0.60338
3/20/2024,175.66,4.33999,6.819980000000015,1,83846700,1.53757
3/21/2024,172.82001,-2.83999,-7.17998,1,73178000,-2.02392
3/22/2024,170.83,-1.99001,0.8499800000000164,0,75454700,2.48365
3/25/2024,172.63,1.799999999999983,3.790009999999967,1,74228600,2.2932
3/26/2024,177.67,5.039999999999992,3.240000000000009,0,113186200,-0.50958
3/27/2024,179.83,2.160000000000025,-2.88,0,81804000,-0.87096
3/28/2024,175.78999,-4.04001,-6.20001,1,77654800,-0.93548
4/1/2024,175.22,-0.56999,3.4700200000000336,0,81562100,-0.53925
4/2/2024,166.63,-8.59,-8.02001,0,116650600,1.14113
4/3/2024,168.38,1.75,10.340000000000003,1,82950100,2.65821
4/4/2024,171.11,2.730000000000018,0.9800000000000182,0,123162000,0.61151
4/5/2024,164.89999,-6.21001,-8.94001,1,141250700,-2.47221
4/8/2024,172.98,8.080009999999987,14.290019999999998,1,104423300,2.14952
4/9/2024,176.88,3.9000000000000057,-4.18001,0,103232700,2.29599
4/10/2024,171.75999,-5.12001,-9.02001,1,84532400,-0.73971
4/11/2024,174.60001,2.8400200000000098,7.9600300000000175,1,94516000,1.18806
4/12/2024,171.05,-3.55001,-6.39003,1,64506600,-0.74852
4/15/2024,161.48,-9.57,-6.01999,0,100245300,-5.14568
4/16/2024,157.11,-4.37,5.2000000000000455,0,97000000,0.23606
4/17/2024,155.45,-1.66,2.709999999999951,0,82439700,-1.38924
4/18/2024,149.92999,-5.52001,-3.86001,0,96098800,-0.87273
4/19/2024,147.05,-2.87999,2.6400199999999927,0,86005100,-1.28885
4/22/2024,142.05,-5,-2.12001,0,107097600,1.06005
4/23/2024,144.67999,2.6299899999999923,7.629989999999992,1,124545100,0.94188
4/24/2024,162.13,17.450009999999992,14.82002,0,181178000,-0.43601
4/25/2024,170.17999,8.049990000000008,-9.40002,0,126427500,7.05837
4/26/2024,168.28999,-1.89,-9.93999,1,109815700,-0.33166
4/29/2024,194.05,25.760010000000023,27.650010000000037,1,243869700,2.98801
4/30/2024,183.28,-10.77,-36.53001,1,127031800,-1.97882
5/1/2024,179.99001,-3.28999,7.480010000000021,0,92829700,-1.10439
5/2/2024,180.00999,0.019979999999975462,3.3099699999999643,1,89148000,-1.55857
5/3/2024,181.19,1.18001,1.1600300000000345,0,75491500,-0.49973
5/6/2024,184.75999,3.56999,2.38998,0,84390300,0.5223
5/7/2024,177.81,-6.94999,-10.51998,1,75045900,-2.51645
5/8/2024,174.72,-3.09,3.859989999999982,0,79969500,1.82412
5/9/2024,171.97,-2.75,0.3400000000000034,0,65950300,-1.73704
5/10/2024,168.47,-3.5,-0.75,0,72627200,-2.64663
5/13/2024,171.89,3.4199999999999875,6.9199999999999875,1,67018900,1.11176
5/14/2024,177.55,5.660000000000025,2.2400000000000375,0,86407400,1.74785
5/15/2024,173.99001,-3.55999,-9.21999,1,79663000,-3.28515
5/16/2024,174.84,0.8499899999999911,4.40998,1,59812200,0.42504
5/17/2024,177.46001,2.6200100000000077,1.7700200000000166,0,77445800,2.25296
5/20/2024,174.95,-2.51001,-5.13002,1,61727400,-1.46993
5/21/2024,186.60001,11.650010000000009,14.160020000000031,1,115266500,6.31874
5/22/2024,180.11,-6.49001,-18.14002,1,88313500,-1.4985
5/23/2024,173.74001,-6.36999,0.12001999999998247,0,71975500,-4.43344
5/24/2024,179.24001,5.5,11.869990000000001,1,65479700,2.51659
5/28/2024,176.75,-2.49001,-7.99001,1,59736600,0.19842
5/29/2024,176.19,-0.56,1.93001,0,54782600,1.14817
5/30/2024,178.78999,2.599989999999991,3.1599899999999934,1,77784800,0.11759
